Customer,State Code,Coverage,Education,Accident Date,Report Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Policy Type,Claim Reason,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
TZ98966,OK,Basic,Bachelor,6/10/2015,8/10/2016,Unemployed,F,0,Suburban,Single,Corporate Auto,Collision,Branch,554.376763,Four-Door Car,Medsize
HM55802,MO,Basic,Bachelor,1/7/2016,12/1/2017,Disabled,F,17870,Suburban,Married,Corporate Auto,Hail,Branch,439.2,Four-Door Car,Medsize
FS42516,IA,Basic,College,2/5/2013,11/3/2015,Employed,M,97541,Suburban,Married,Personal Auto,Hail,Call Center,389.185006,Four-Door Car,Large
US89481,MO,Premium,Bachelor,23/12/2015,6/3/2016,Unemployed,F,0,Suburban,Single,Personal Auto,Collision,Agent,799.2,Four-Door Car,Small
HO30839,KS,Extended,Master,26/8/2011,20/2/2016,Disabled,F,10511,Urban,Married,Corporate Auto,Collision,Branch,516.237951,SUV,Medsize
GE62437,NE,Premium,College,16/1/2014,21/6/2017,Employed,F,86584,Suburban,Single,Personal Auto,Collision,Call Center,532.8,Four-Door Car,Large
EJ77678,IA,Extended,Master,18/2/2013,27/5/2014,Employed,F,75690,Suburban,Married,Personal Auto,Hail,Branch,384,Four-Door Car,Small
SV85652,NE,Basic,College,20/12/2012,27/8/2016,Employed,M,23158,Suburban,Married,Personal Auto,Other,Call Center,322.294043,Four-Door Car,Small
UL64533,OK,Extended,High School or Below,18/12/2012,5/11/2016,Employed,M,65999,Urban,Married,Corporate Auto,Hail,Agent,615.927769,Luxury SUV,Medsize
PF41800,MO,Basic,Bachelor,19/2/2016,4/6/2017,Unemployed,M,0,Urban,Married,Personal Auto,Collision,Call Center,308.15089,Four-Door Car,Medsize
AO98601,KS,Basic,Bachelor,6/7/2016,1/10/2016,Employed,M,54500,Suburban,Married,Corporate Auto,Collision,Agent,302.4,Two-Door Car,Small
SK67821,IA,Basic,Bachelor,20/9/2011,17/8/2017,Employed,F,37260,Rural,Married,Corporate Auto,Scratch/Dent,Web,15.437681,Four-Door Car,Medsize
YV55495,NE,Basic,High School or Below,27/7/2016,28/5/2017,Employed,F,68987,Urban,Married,Personal Auto,Collision,Branch,204.475147,Four-Door Car,Medsize
KY38074,MO,Premium,Bachelor,22/8/2013,21/12/2013,Employed,M,42305,Suburban,Married,Personal Auto,Collision,Agent,561.6,Four-Door Car,Small
DM79012,IA,Extended,Master,3/10/2011,8/12/2014,Employed,F,65706,Suburban,Married,Personal Auto,Hail,Web,436.8,Four-Door Car,Small
CM61827,IA,Extended,Bachelor,13/7/2016,4/3/2017,Unemployed,M,0,Suburban,Single,Personal Auto,Scratch/Dent,Agent,648,Two-Door Car,Small
WC35801,NE,Basic,High School or Below,13/8/2014,19/11/2014,Employed,M,53243,Rural,Divorced,Personal Auto,Collision,Call Center,157.397849,Four-Door Car,Medsize
QG25316,OK,Basic,High School or Below,29/4/2014,16/1/2015,Unemployed,F,0,Suburban,Married,Corporate Auto,Scratch/Dent,Call Center,484.318536,Two-Door Car,Medsize
MB98372,IA,Basic,College,24/6/2013,12/1/2017,Employed,F,50071,Rural,Single,Corporate Auto,Hail,Agent,18.918935,Two-Door Car,Medsize
IL19217,MO,Extended,Bachelor,12/5/2016,3/4/2017,Employed,F,60021,Suburban,Married,Personal Auto,Hail,Agent,882.871945,Four-Door Car,Small
SR38658,NE,Basic,High School or Below,5/4/2013,21/11/2015,Employed,M,43244,Suburban,Married,Personal Auto,Other,Agent,494.4,Sports Car,Medsize
DH41343,KS,Basic,College,12/9/2011,27/3/2015,Employed,M,92834,Suburban,Married,Special Auto,Hail,Call Center,292.8,Four-Door Car,Large
HG65722,IA,Premium,Doctor,16/1/2012,13/10/2016,Disabled,F,10105,Rural,Married,Personal Auto,Collision,Branch,0.517753,SUV,Medsize
BU27331,NE,Basic,Bachelor,10/3/2013,19/5/2014,Unemployed,M,0,Suburban,Single,Personal Auto,Scratch/Dent,Call Center,579.165954,Four-Door Car,Medsize
XM45289,IA,Basic,High School or Below,30/12/2012,22/5/2013,Employed,F,23218,Suburban,Single,Personal Auto,Other,Agent,447.79344,Two-Door Car,Medsize
KP34198,MO,Extended,Bachelor,28/2/2014,19/4/2017,Unemployed,F,0,Suburban,Married,Corporate Auto,Hail,Call Center,529.624084,Four-Door Car,Medsize
SH90947,NE,Basic,High School or Below,25/2/2010,25/1/2013,Unemployed,F,0,Suburban,Married,Personal Auto,Other,Branch,313.023175,Four-Door Car,Medsize
WE95729,IA,Basic,College,10/3/2016,27/11/2016,Employed,M,24804,Suburban,Married,Personal Auto,Collision,Agent,593.830288,SUV,Small
PY51963,MO,Basic,Bachelor,18/10/2014,13/12/2015,Employed,F,33190,Suburban,Divorced,Corporate Auto,Collision,Web,508.8,SUV,Medsize
RB69909,OK,Basic,High School or Below,12/7/2010,26/9/2013,Employed,F,36014,Rural,Married,Special Auto,Other,Branch,173.956072,Four-Door Car,Medsize
XR95069,KS,Basic,Bachelor,28/6/2013,1/8/2015,Employed,M,29834,Suburban,Single,Personal Auto,Other,Agent,307.2,Four-Door Car,Medsize
FR46645,MO,Premium,Bachelor,27/6/2010,27/10/2012,Disabled,M,16701,Suburban,Married,Personal Auto,Collision,Branch,831.625979,Four-Door Car,Small
SY17488,NE,Extended,College,22/3/2016,8/6/2017,Employed,F,46623,Suburban,Divorced,Corporate Auto,Scratch/Dent,Call Center,436.8,Four-Door Car,Small
AP67935,MO,Basic,College,5/3/2012,1/9/2017,Employed,M,64749,Urban,Married,Special Auto,Hail,Branch,302.56519,Four-Door Car,Medsize
FS37417,NE,Basic,High School or Below,7/8/2010,8/9/2011,Unemployed,F,0,Suburban,Married,Personal Auto,Collision,Call Center,484.8,SUV,Small
ML29312,IA,Extended,High School or Below,24/5/2013,15/9/2016,Disabled,F,16969,Suburban,Divorced,Personal Auto,Collision,Call Center,704.768111,SUV,Medsize
UB61619,IA,Premium,Master,15/4/2015,1/4/2017,Disabled,F,11621,Suburban,Divorced,Personal Auto,Collision,Agent,518.4,Four-Door Car,Medsize
CD86811,NE,Basic,Bachelor,26/1/2013,9/7/2013,Retired,M,17622,Suburban,Divorced,Personal Auto,Collision,Agent,312,Four-Door Car,Medsize
RU83859,MO,Premium,Bachelor,24/2/2014,20/8/2017,Medical Leave,F,11489,Suburban,Married,Personal Auto,Collision,Call Center,504,Two-Door Car,Small
FG63582,IA,Extended,Bachelor,17/9/2011,25/9/2012,Unemployed,M,0,Suburban,Single,Personal Auto,Collision,Agent,863.327324,Two-Door Car,Small
NN71951,MO,Basic,High School or Below,25/10/2015,25/9/2016,Employed,F,66525,Rural,Married,Personal Auto,Collision,Agent,104.331355,SUV,Medsize
WB37082,NE,Basic,Bachelor,9/4/2017,6/7/2017,Unemployed,F,0,Suburban,Single,Personal Auto,Scratch/Dent,Branch,676.391482,Four-Door Car,Large
SM52139,KS,Basic,College,26/3/2013,7/1/2014,Employed,M,33663,Suburban,Married,Personal Auto,Scratch/Dent,Web,350.4,Four-Door Car,Medsize
FL82372,IA,Basic,College,4/10/2011,22/3/2015,Employed,F,22547,Suburban,Divorced,Corporate Auto,Collision,Agent,537.6,SUV,Medsize
DP45816,NE,Extended,High School or Below,28/2/2014,25/5/2017,Employed,F,61486,Urban,Married,Personal Auto,Other,Branch,465.258644,Two-Door Car,Small
GW33762,IA,Extended,Bachelor,12/3/2013,22/2/2015,Unemployed,F,0,Suburban,Divorced,Personal Auto,Collision,Call Center,456,Two-Door Car,Large
RZ33670,MO,Premium,College,19/6/2015,11/2/2017,Disabled,F,29879,Suburban,Married,Personal Auto,Scratch/Dent,Web,500.254235,Four-Door Car,Medsize
PY70169,IA,Basic,High School or Below,19/7/2011,9/5/2013,Employed,M,93011,Rural,Divorced,Personal Auto,Other,Agent,281.451042,SUV,Medsize
MO91628,IA,Basic,Master,8/10/2016,1/1/2017,Employed,M,65186,Rural,Married,Personal Auto,Hail,Web,5.434505,Two-Door Car,Large
HW87852,IA,Basic,Master,31/10/2015,10/6/2017,Medical Leave,M,26840,Suburban,Married,Personal Auto,Collision,Agent,307.2,Four-Door Car,Medsize
HB20453,IA,Basic,Bachelor,7/12/2015,12/12/2016,Unemployed,M,0,Suburban,Single,Personal Auto,Collision,Agent,982.399613,Sports Car,Medsize
BN87372,IA,Basic,Bachelor,3/6/2014,15/9/2017,Employed,M,75644,Suburban,Divorced,Personal Auto,Hail,Branch,467.803638,Two-Door Car,Medsize
YX23800,IA,Basic,Bachelor,18/2/2012,9/1/2016,Employed,M,38984,Suburban,Married,Personal Auto,Hail,Branch,350.4,Four-Door Car,Small
DZ87709,IA,Basic,High School or Below,9/12/2015,6/6/2017,Employed,F,71811,Rural,Single,Personal Auto,Hail,Call Center,29.03416,Four-Door Car,Medsize
XW13033,OK,Basic,College,7/1/2011,10/2/2015,Employed,M,20961,Suburban,Married,Personal Auto,Hail,Agent,321.6,Four-Door Car,Medsize
LN31673,KS,Extended,College,7/3/2015,23/9/2017,Employed,M,38923,Rural,Married,Personal Auto,Collision,Agent,115.728852,Four-Door Car,Medsize
OM82309,MO,Basic,Bachelor,3/7/2013,22/8/2016,Employed,M,61321,Rural,Single,Personal Auto,Hail,Branch,427.63121,Luxury Car,Small
ZU35962,MO,Extended,College,19/4/2014,10/1/2017,Unemployed,F,0,Rural,Single,Personal Auto,Scratch/Dent,Branch,25.807685,Two-Door Car,Large
VH85817,MO,Basic,High School or Below,11/2/2011,30/10/2012,Employed,M,51066,Suburban,Single,Personal Auto,Hail,Call Center,787.993313,Four-Door Car,Medsize
DT85712,MO,Basic,Doctor,12/2/2014,14/8/2015,Employed,M,34378,Suburban,Married,Personal Auto,Scratch/Dent,Branch,489.6,SUV,Medsize
YJ88573,OK,Basic,Master,3/6/2013,7/12/2014,Employed,M,43072,Suburban,Married,Personal Auto,Hail,Call Center,302.4,Four-Door Car,Large
SQ19467,IA,Extended,College,25/11/2010,30/4/2014,Disabled,F,25222,Suburban,Single,Personal Auto,Hail,Agent,475.623251,Four-Door Car,Small
HF88410,KS,Basic,High School or Below,28/9/2015,28/10/2015,Employed,M,36765,Suburban,Married,Personal Auto,Collision,Call Center,320.849072,Four-Door Car,Medsize
ET79815,MO,Extended,College,5/8/2017,23/9/2017,Retired,M,23091,Suburban,Married,Personal Auto,Collision,Agent,460.8,Four-Door Car,Medsize
QC35222,MO,Basic,Bachelor,25/4/2010,24/2/2013,Employed,F,48269,Urban,Married,Corporate Auto,Scratch/Dent,Web,282.151207,Four-Door Car,Medsize
CJ15590,IA,Basic,Bachelor,18/3/2011,27/5/2016,Employed,F,32720,Suburban,Divorced,Personal Auto,Scratch/Dent,Branch,321.6,Four-Door Car,Medsize
OI48267,MO,Extended,College,21/12/2015,3/12/2016,Employed,M,20396,Suburban,Married,Personal Auto,Collision,Branch,364.8,Four-Door Car,Medsize
JY67916,IA,Premium,College,14/7/2017,19/8/2017,Medical Leave,M,21513,Suburban,Married,Personal Auto,Hail,Branch,679.827592,Two-Door Car,Small
OE75231,KS,Extended,Bachelor,21/8/2015,24/4/2017,Employed,F,72540,Suburban,Married,Corporate Auto,Hail,Call Center,631.743039,Two-Door Car,Medsize
CZ33664,IA,Basic,Bachelor,21/1/2016,20/7/2017,Employed,F,80744,Rural,Married,Corporate Auto,Collision,Agent,11.879037,Four-Door Car,Medsize
WK30175,IA,Basic,Bachelor,29/9/2010,24/11/2012,Employed,M,52822,Suburban,Married,Corporate Auto,Collision,Branch,350.529033,Two-Door Car,Small
ON44465,MO,Extended,High School or Below,6/12/2015,28/6/2017,Unemployed,F,0,Suburban,Single,Personal Auto,Collision,Agent,863.3947,Four-Door Car,Medsize
TV87155,IA,Basic,Bachelor,17/6/2012,8/1/2015,Employed,F,69738,Suburban,Married,Personal Auto,Collision,Branch,492.127532,Four-Door Car,Large
KH48895,NE,Basic,Master,17/12/2014,27/5/2015,Medical Leave,F,17780,Rural,Married,Personal Auto,Collision,Branch,132.588288,SUV,Medsize
NZ30757,MO,Basic,Bachelor,21/12/2011,28/12/2011,Medical Leave,M,18107,Suburban,Married,Personal Auto,Collision,Agent,297.6,Four-Door Car,Medsize
RI22468,NE,Basic,Bachelor,22/12/2012,19/6/2015,Employed,F,57740,Urban,Married,Personal Auto,Scratch/Dent,Web,269.905129,Four-Door Car,Medsize
FZ30935,IA,Extended,College,17/8/2010,30/8/2010,Employed,M,32627,Suburban,Married,Personal Auto,Collision,Agent,380.036697,Two-Door Car,Small
UG93476,MO,Basic,College,8/8/2017,14/8/2017,Unemployed,F,0,Suburban,Married,Personal Auto,Collision,Agent,513.6,SUV,Medsize
AB96670,MO,Basic,College,4/8/2014,3/3/2015,Unemployed,M,0,Suburban,Single,Personal Auto,Collision,Branch,425.266308,Four-Door Car,Medsize
XK64261,IA,Basic,Bachelor,28/7/2011,25/10/2014,Employed,M,65795,Rural,Single,Corporate Auto,Scratch/Dent,Call Center,49.011099,Two-Door Car,Medsize
EV68375,MO,Premium,College,12/3/2013,16/3/2016,Employed,M,60475,Suburban,Married,Personal Auto,Hail,Branch,513.6,Four-Door Car,Medsize
UN51653,MO,Extended,High School or Below,18/10/2015,17/7/2016,Unemployed,F,0,Suburban,Single,Personal Auto,Collision,Web,936,SUV,Medsize
TO96662,IA,Extended,Bachelor,31/10/2013,17/8/2014,Employed,F,41837,Rural,Married,Personal Auto,Collision,Call Center,142.062768,Four-Door Car,Small
MR52087,MO,Basic,Bachelor,19/10/2013,4/4/2017,Employed,F,32303,Rural,Married,Personal Auto,Scratch/Dent,Branch,45.152521,Four-Door Car,Medsize
DE75225,IA,Basic,High School or Below,2/3/2011,16/7/2015,Unemployed,M,0,Suburban,Married,Personal Auto,Collision,Agent,561.6,SUV,Medsize
EP80820,MO,Basic,Bachelor,20/9/2017,21/9/2017,Employed,F,40531,Rural,Married,Personal Auto,Collision,Agent,30.567357,Two-Door Car,Medsize
GU99037,IA,Basic,College,5/11/2016,25/11/2016,Employed,M,79898,Urban,Married,Corporate Auto,Other,Agent,271.606799,Four-Door Car,Medsize
WI57118,MO,Extended,College,26/1/2016,22/4/2017,Employed,M,56398,Suburban,Married,Personal Auto,Other,Agent,408,Four-Door Car,Small
YQ74870,KS,Extended,High School or Below,10/3/2013,26/10/2015,Employed,M,35257,Suburban,Divorced,Corporate Auto,Hail,Web,470.4,Four-Door Car,Small
MQ14219,NE,Basic,College,13/1/2014,25/8/2017,Employed,M,27804,Suburban,Married,Personal Auto,Hail,Branch,784.8,SUV,Medsize
KN20603,IA,Basic,Bachelor,27/8/2012,12/5/2016,Employed,M,45506,Suburban,Single,Personal Auto,Collision,Agent,316.8,Four-Door Car,Medsize
CR48975,KS,Basic,High School or Below,2/12/2016,19/2/2017,Employed,M,65196,Suburban,Married,Personal Auto,Other,Branch,396.082036,Four-Door Car,Medsize
JI70886,MO,Basic,High School or Below,10/8/2011,8/12/2012,Unemployed,M,0,Suburban,Married,Corporate Auto,Collision,Agent,489.6,SUV,Medsize
VF72557,IA,Extended,High School or Below,26/1/2017,26/8/2017,Retired,M,20993,Suburban,Divorced,Personal Auto,Hail,Agent,638.4,SUV,Medsize
OX28638,NE,Extended,High School or Below,5/6/2013,2/3/2017,Employed,M,37839,Suburban,Married,Personal Auto,Hail,Branch,465.633954,Two-Door Car,Medsize
SK55033,MO,Basic,Bachelor,5/7/2012,12/9/2012,Employed,F,92711,Suburban,Single,Personal Auto,Scratch/Dent,Agent,368.400146,Two-Door Car,Medsize
OO88645,MO,Extended,College,13/5/2011,4/8/2011,Employed,F,74665,Urban,Married,Corporate Auto,Hail,Call Center,236.902001,Four-Door Car,Medsize
YT36855,KS,Extended,College,7/11/2013,17/9/2016,Unemployed,M,0,Suburban,Married,Personal Auto,Scratch/Dent,Web,582.679087,Two-Door Car,Medsize
CW82151,MO,Basic,Bachelor,20/7/2012,8/2/2016,Employed,M,46833,Rural,Married,Personal Auto,Collision,Call Center,64.109663,Sports Car,Medsize
DY22043,IA,Basic,High School or Below,6/2/2014,18/10/2015,Employed,F,88768,Suburban,Married,Personal Auto,Scratch/Dent,Branch,326.4,Two-Door Car,Small
SH36774,MO,Basic,High School or Below,26/4/2011,21/7/2011,Employed,M,28262,Suburban,Single,Personal Auto,Scratch/Dent,Web,921.6,Luxury SUV,Medsize
EM43724,OK,Basic,Bachelor,14/10/2011,1/9/2014,Employed,F,33555,Rural,Married,Personal Auto,Collision,Agent,101.89645,Four-Door Car,Medsize
FH85960,IA,Premium,College,24/5/2015,29/6/2017,Employed,M,42780,Suburban,Divorced,Personal Auto,Collision,Call Center,542.4,Four-Door Car,Medsize
XA55993,IA,Extended,Master,14/2/2016,9/11/2016,Employed,F,58850,Rural,Single,Personal Auto,Hail,Branch,143.747794,Four-Door Car,Medsize
GO36627,NE,Extended,College,18/1/2013,5/7/2015,Employed,M,21880,Urban,Married,Special Auto,Collision,Branch,424.077159,Four-Door Car,Medsize
QH48047,IA,Basic,College,7/12/2014,13/8/2017,Retired,M,25251,Suburban,Divorced,Personal Auto,Hail,Web,316.8,Four-Door Car,Medsize
RB50392,KS,Basic,Master,24/10/2011,6/12/2011,Unemployed,F,0,Rural,Married,Personal Auto,Hail,Agent,2.704934,Four-Door Car,Medsize
UH65059,NE,Basic,High School or Below,25/6/2015,5/1/2017,Employed,M,24188,Suburban,Married,Personal Auto,Collision,Agent,523.2,Sports Car,Medsize
FV21968,OK,Basic,Bachelor,15/5/2011,7/10/2014,Employed,F,41611,Rural,Married,Special Auto,Collision,Branch,113.801497,Four-Door Car,Medsize
QA87025,IA,Basic,Bachelor,10/2/2014,22/3/2015,Employed,F,28406,Urban,Married,Personal Auto,Collision,Call Center,192.87572,Four-Door Car,Medsize
TQ13499,NE,Premium,College,26/5/2010,18/2/2015,Employed,M,69833,Suburban,Married,Personal Auto,Collision,Agent,828.662719,Four-Door Car,Small
BU44523,NE,Basic,High School or Below,4/6/2014,16/7/2017,Unemployed,F,0,Suburban,Single,Corporate Auto,Collision,Web,532.8,Four-Door Car,Small
MS41162,NE,Basic,High School or Below,27/9/2012,9/12/2015,Unemployed,M,0,Suburban,Single,Personal Auto,Collision,Agent,975.107098,SUV,Medsize
PU25891,IA,Basic,High School or Below,7/4/2013,17/10/2014,Employed,F,80536,Rural,Married,Special Auto,Collision,Branch,53.798708,Sports Car,Medsize
RB81636,KS,Basic,College,28/1/2011,6/6/2015,Unemployed,F,0,Suburban,Single,Personal Auto,Hail,Agent,606.642452,Four-Door Car,Small
SX26335,IA,Extended,College,16/3/2014,1/3/2016,Employed,F,97732,Urban,Married,Personal Auto,Other,Branch,289.9122,Four-Door Car,Medsize
AZ95587,NE,Extended,Bachelor,17/12/2010,13/6/2015,Employed,F,61222,Urban,Single,Special Auto,Scratch/Dent,Branch,392.604371,Four-Door Car,Small
DS81757,IA,Basic,College,3/11/2012,24/1/2014,Unemployed,M,0,Suburban,Single,Personal Auto,Other,Web,721.242206,Two-Door Car,Large
OJ94107,NE,Premium,Master,13/9/2017,19/9/2017,Employed,M,50335,Urban,Married,Personal Auto,Collision,Call Center,456.52385,SUV,Medsize
LP84436,MO,Extended,High School or Below,22/3/2010,26/8/2010,Unemployed,F,0,Suburban,Single,Personal Auto,Scratch/Dent,Branch,1087.995426,Sports Car,Medsize
YV64727,KS,Premium,High School or Below,30/4/2013,28/12/2015,Employed,M,63221,Suburban,Married,Corporate Auto,Scratch/Dent,Agent,806.4,SUV,Medsize
LM19287,IA,Extended,High School or Below,8/1/2011,25/6/2011,Unemployed,F,0,Suburban,Married,Personal Auto,Collision,Agent,460.8,Four-Door Car,Large
ZU18643,OK,Extended,Bachelor,23/11/2012,26/1/2013,Employed,M,64495,Urban,Married,Corporate Auto,Other,Web,251.992083,Four-Door Car,Medsize
AZ82578,MO,Basic,College,1/2/2015,20/4/2016,Unemployed,F,0,Suburban,Married,Corporate Auto,Collision,Call Center,345.6,Four-Door Car,Medsize
XC67861,NE,Basic,Bachelor,17/4/2013,17/5/2017,Employed,F,28859,Suburban,Divorced,Corporate Auto,Collision,Call Center,321.6,Two-Door Car,Medsize
YC43143,NE,Extended,High School or Below,5/2/2010,26/1/2017,Employed,F,77330,Rural,Married,Personal Auto,Hail,Web,99.257608,Four-Door Car,Medsize
EK59571,IA,Premium,College,15/4/2017,15/5/2017,Unemployed,M,0,Suburban,Married,Corporate Auto,Collision,Branch,504,Four-Door Car,Large
GD83998,KS,Basic,Bachelor,14/2/2011,15/6/2013,Employed,M,24495,Suburban,Single,Personal Auto,Other,Branch,336,Four-Door Car,Small
WA25797,KS,Basic,High School or Below,14/5/2017,25/5/2017,Employed,M,95697,Rural,Married,Personal Auto,Hail,Agent,178.006524,Sports Car,Medsize
PD27940,NE,Extended,High School or Below,13/10/2012,24/2/2015,Disabled,M,26372,Suburban,Married,Personal Auto,Other,Agent,604.8,SUV,Medsize
BS77946,NE,Extended,Bachelor,30/7/2013,6/8/2015,Medical Leave,F,17514,Rural,Married,Personal Auto,Collision,Branch,8.312729,SUV,Medsize
YM50253,MO,Basic,Bachelor,12/3/2012,13/4/2016,Employed,F,89270,Urban,Single,Personal Auto,Hail,Branch,316.599228,Four-Door Car,Medsize
NR15332,MO,Basic,High School or Below,31/5/2010,1/4/2016,Employed,M,29757,Suburban,Married,Personal Auto,Hail,Web,312,Four-Door Car,Small
RC62865,IA,Extended,College,12/9/2017,15/9/2017,Employed,M,51814,Rural,Single,Personal Auto,Scratch/Dent,Agent,56.300724,Four-Door Car,Medsize
CC15295,IA,Extended,Bachelor,22/9/2012,13/7/2013,Employed,F,24028,Suburban,Married,Personal Auto,Hail,Agent,393.6,Four-Door Car,Small
KA61892,NE,Basic,College,10/6/2011,24/10/2012,Retired,M,28142,Suburban,Married,Personal Auto,Hail,Agent,701.708239,Sports Car,Medsize
OS94884,NE,Basic,Bachelor,1/4/2015,22/2/2017,Employed,F,52705,Rural,Married,Personal Auto,Collision,Web,128.705563,Two-Door Car,Large
ND87334,MO,Basic,High School or Below,16/4/2017,24/4/2017,Unemployed,M,0,Suburban,Married,Corporate Auto,Hail,Agent,679.368378,Two-Door Car,Medsize
ML93326,KS,Basic,College,14/3/2011,21/7/2012,Employed,F,84903,Urban,Married,Personal Auto,Collision,Agent,497.126827,SUV,Medsize
YL74911,MO,Basic,College,27/10/2013,20/11/2014,Unemployed,F,0,Suburban,Divorced,Personal Auto,Collision,Agent,566.4,SUV,Medsize
JP69864,KS,Basic,Bachelor,10/10/2015,18/12/2016,Retired,F,24910,Suburban,Single,Personal Auto,Collision,Branch,347.857619,Four-Door Car,Medsize
HL53154,MO,Extended,Bachelor,12/1/2011,11/2/2014,Unemployed,M,0,Suburban,Single,Personal Auto,Collision,Agent,554.4,Four-Door Car,Medsize
RI78966,IA,Basic,Master,4/4/2012,14/6/2014,Medical Leave,M,21876,Suburban,Married,Personal Auto,Collision,Agent,465.41477,Four-Door Car,Small
IC13702,MO,Basic,Bachelor,2/4/2015,30/4/2015,Unemployed,F,0,Suburban,Single,Personal Auto,Collision,Agent,496.8,Four-Door Car,Small
BE10809,MO,Basic,High School or Below,22/9/2011,30/11/2015,Unemployed,F,0,Suburban,Single,Personal Auto,Collision,Agent,292.8,Four-Door Car,Small
HT87217,IA,Extended,High School or Below,6/2/2014,10/2/2016,Employed,F,70699,Urban,Divorced,Personal Auto,Scratch/Dent,Agent,256.813837,Four-Door Car,Medsize
TH95618,MO,Basic,High School or Below,25/12/2011,13/3/2015,Unemployed,F,0,Suburban,Married,Personal Auto,Collision,Agent,355.2,Four-Door Car,Medsize
TS19868,MO,Basic,College,21/12/2011,6/9/2013,Medical Leave,M,27501,Suburban,Married,Personal Auto,Other,Branch,542.319401,Four-Door Car,Medsize
LP45550,IA,Premium,Doctor,11/6/2013,27/11/2014,Disabled,F,15897,Urban,Divorced,Personal Auto,Hail,Agent,303.148399,Four-Door Car,Medsize
